# LAMMPS data file written by OVITO Pro 3.15.4

2669 atoms
498 bonds
1 atom types
10 bond types

20.0 0.0 0.0 avec
0.0 20.0 0.0 bvec
0.0 0.0 60.0 cvec
0.0 0.0 0.0 abc origin

Atoms  # sphere

58 1 1.0 0.0 7.16637 15.6527 0.499995 0 0 0
177 1 1.0 0.0 9.09936 15.0974 0.500035 0 0 0
181 1 1.0 0.0 10.3649 15.2435 0.499934 0 0 0
69 1 1.0 0.0 11.3458 15.0488 0.499995 0 0 0
358 1 1.0 0.0 13.0104 15.5992 0.499923 0 0 0
280 1 1.0 0.0 14.0094 15.6465 0.499995 0 0 0
597 1 1.0 0.0 15.9891 15.0937 0.499975 0 0 0
269 1 1.0 0.0 18.0013 15.3501 0.49999 0 0 0
132 1 1.0 0.0 18.9723 15.5922 0.499914 0 0 0
386 1 1.0 0.0 0.814576 16.2478 0.499955 0 0 0
270 1 1.0 0.0 1.74618 15.8843 0.499975 0 0 0
6 1 1.0 0.0 2.73772 15.7547 0.499973 0 0 0
286 1 1.0 0.0 3.55167 16.3355 0.499966 0 0 0
85 1 1.0 0.0 5.44106 15.7204 0.499953 0 0 0
179 1 1.0 0.0 8.38478 16.0282 0.499972 0 0 0
10 1 1.0 0.0 9.49272 16.0168 0.499967 0 0 0
265 1 1.0 0.0 11.0486 16.0423 0.499995 0 0 0
80 1 1.0 0.0 12.0164 15.7906 0.499942 0 0 0
251 1 1.0 0.0 15.2828 16.0819 0.499905 0 0 0
194 1 1.0 0.0 16.3321 16.1353 0.499957 0 0 0
441 1 1.0 0.0 17.3312 16.0924 0.499995 0 0 0
524 1 1.0 0.0 19.9638 15.7222 0.499987 -1 0 0
403 1 1.0 0.0 2.07321 16.8719 0.499964 0 0 0
622 1 1.0 0.0 4.33048 16.956 0.59237 0 0 0
346 1 1.0 0.0 5.29534 16.71 0.499993 0 0 0
262 1 1.0 0.0 6.29313 16.6436 0.49995 0 0 0
171 1 1.0 0.0 7.29267 16.6734 0.499983 0 0 0
261 1 1.0 0.0 8.23199 17.0164 0.499968 0 0 0
210 1 1.0 0.0 10.1225 16.7935 0.499909 0 0 0
475 1 1.0 0.0 11.0913 17.0414 0.499995 0 0 0
